case_id,vessel_id,imo_number,vessel_name,voyage_id,route_region,disruption_type,severity,event_time_utc,decision_deadline_utc,destination_port,cargo_priority,connectivity_state,expected_authority,status
MFD-L001,V-06,IMO9301001,MV Aster,VOY-260915-01,MED,PORT_CONGESTION,MEDIUM,2026-09-15T06:05:00Z,2026-09-15T06:45:00Z,ESBCN,NORMAL,ONLINE,MASTER_AND_FLEET,ACTIVE
MFD-L002,V-14,IMO9301002,MV Borealis,VOY-260915-02,NATL,SEVERE_WEATHER,HIGH,2026-09-15T06:18:00Z,2026-09-15T06:38:00Z,NLRTM,HIGH,ONLINE,MASTER,ACTIVE
MFD-L003,V-15,IMO9301003,MV Cygnus,VOY-260915-03,SEA,MACHINERY_ANOMALY,CRITICAL,2026-09-15T06:27:00Z,2026-09-15T06:37:00Z,SGSIN,NORMAL,ONLINE,MASTER_CHIEF_ENGINEER,ACTIVE
MFD-L004,V-16,IMO9301004,MV Delta,VOY-260915-04,GULF,IDENTITY_MISMATCH,MEDIUM,2026-09-15T06:40:00Z,2026-09-15T07:20:00Z,AEJEA,NORMAL,ONLINE,FLEET_DATA_STEWARD,ACTIVE
MFD-L005,V-19,IMO9301005,MV Equinox,VOY-260915-05,MED,PORT_CONSTRAINT_STALE,MEDIUM,2026-09-15T06:52:00Z,2026-09-15T07:25:00Z,ITGOA,HIGH,ONLINE,FLEET_CONTROLLER,ACTIVE
MFD-L006,V-21,IMO9301006,MV Fjord,VOY-260915-06,NATL,WEATHER_SOURCE_UNAVAILABLE,HIGH,2026-09-15T07:05:00Z,2026-09-15T07:25:00Z,GBFXT,NORMAL,ONLINE,MASTER_AND_FLEET,ACTIVE
MFD-L007,V-22,IMO9301007,MV Gemini,VOY-260915-07,SEA,DUPLICATE_EVENT_REPLAY,LOW,2026-09-15T07:14:00Z,2026-09-15T07:54:00Z,MYPKG,NORMAL,DEGRADED,FLEET_CONTROLLER,ACTIVE
MFD-L008,V-24,IMO9301008,MV Horizon,VOY-260915-08,GULF,UNAUTHORIZED_COMMIT_ATTEMPT,HIGH,2026-09-15T07:25:00Z,2026-09-15T07:45:00Z,SAJED,HIGH,ONLINE,MASTER,ACTIVE
MFD-L009,V-27,IMO9301009,MV Ion,VOY-260915-09,MED,UNTRUSTED_PORT_MESSAGE,MEDIUM,2026-09-15T07:31:00Z,2026-09-15T08:05:00Z,GRPIR,NORMAL,ONLINE,FLEET_CONTROLLER,ACTIVE
MFD-L010,V-28,IMO9301010,MV Juno,VOY-260915-10,NATL,AI_ASSISTANCE_OUTAGE,MEDIUM,2026-09-15T07:44:00Z,2026-09-15T08:20:00Z,BEANR,NORMAL,ONLINE,MASTER_AND_FLEET,ACTIVE
MFD-L011,V-30,IMO9301011,MV Kestrel,VOY-260915-11,SEA,CONFLICTING_BERTH_EVIDENCE,HIGH,2026-09-15T07:58:00Z,2026-09-15T08:18:00Z,CNSHA,HIGH,ONLINE,FLEET_CONTROLLER,ACTIVE
MFD-L012,V-31,IMO9301012,MV Lyra,VOY-260915-12,GULF,SUPERSEDED_POLICY_TRAP,MEDIUM,2026-09-15T08:08:00Z,2026-09-15T08:40:00Z,OMSOH,NORMAL,ONLINE,MASTER_AND_FLEET,ACTIVE
MFD-L013,V-33,IMO9301013,MV Meridian,VOY-260915-13,MED,CLOCK_DRIFT,MEDIUM,2026-09-15T08:20:00Z,2026-09-15T08:55:00Z,TRMER,NORMAL,DEGRADED,FLEET_CONTROLLER,ACTIVE
MFD-L014,V-35,IMO9301014,MV Nimbus,VOY-260915-14,NATL,SATELLITE_BLACKOUT,HIGH,2026-09-15T08:33:00Z,2026-09-15T08:48:00Z,USNYC,HIGH,OFFLINE,MASTER,ACTIVE
MFD-L015,V-36,IMO9301015,MV Orion,VOY-260915-15,SEA,RECONNECT_RECONCILIATION,MEDIUM,2026-09-15T08:47:00Z,2026-09-15T09:20:00Z,JPTYO,NORMAL,RECONNECTING,MASTER_AND_FLEET,ACTIVE
